,Абсолютная ошибка,Относительная ошибка,Теоретическая ошибка
3,0.0007069304974486879,0.15378160614525752,0.002285371254922846
5,6.50811500135795e-07,0.0001415738013141122,1.9044760457690382e-05
10,2.7200464103316335e-15,5.917032965476247e-13,1.0293272614556542e-11
20,2.4225066397320916e-13,5.2697820125180284e-11,7.853537555789343e-27
30,9.710826587294719e-11,2.1124375238891787e-08,4.765269981536935e-44
40,6.663481877389188e-08,1.4495356323187965e-05,1.1438798199435133e-62
50,2.570313941202551e-05,0.005591313539339353,2.4091526452317737e-82
60,0.039141085458661296,8.514527255260502,7.189599947904283e-103
70,19.29745516026639,102.415254800355,4.19030918515556e-124
80,13111.458791324676,100.00286857481373,6.003392734329938e-146
90,12020379.037564814,99.9999968711369,2.5138094683480576e-168
100,15846035494.097511,100.0000000023688,3.521150231815837e-191
